"seqnames"	"start"	"end"	"width"	"strand"	"target"
"chr1"	569051	569051	1	"+"	1
"chr1"	860484	860484	1	"+"	1
"chr1"	878151	878151	1	"+"	1
"chr1"	878277	878277	1	"+"	1
"chr1"	949527	949527	1	"+"	1
"chr1"	1168011	1168011	1	"+"	1
"chr1"	1170049	1170049	1	"+"	1
"chr1"	1247017	1247017	1	"+"	1
"chr1"	1248352	1248352	1	"+"	1
"chr1"	1248668	1248668	1	"+"	1
"chr1"	1248726	1248726	1	"+"	1
"chr1"	1248820	1248820	1	"+"	1
"chr1"	1248933	1248933	1	"+"	1
"chr1"	1249566	1249566	1	"+"	1
"chr1"	1249626	1249626	1	"+"	1
"chr1"	1249755	1249755	1	"+"	1
"chr1"	1249852	1249852	1	"+"	1
"chr1"	1249901	1249901	1	"+"	1
"chr1"	1250682	1250682	1	"+"	1
"chr1"	1250758	1250758	1	"+"	1
"chr1"	1250914	1250914	1	"+"	1
"chr1"	1263133	1263133	1	"+"	1
"chr1"	1263294	1263294	1	"+"	1
"chr1"	1263762	1263762	1	"+"	1
"chr1"	2161016	2161016	1	"+"	1
"chr1"	2239337	2239337	1	"+"	1
"chr1"	2240586	2240586	1	"+"	1
"chr1"	2334571	2334571	1	"+"	1
"chr1"	3350870	3350870	1	"+"	1
"chr1"	3649854	3649854	1	"+"	1
"chr1"	4538191	4538191	1	"+"	1
"chr1"	6158815	6158815	1	"+"	1
"chr1"	6296211	6296211	1	"+"	1
"chr1"	6681853	6681853	1	"+"	1
"chr1"	6681933	6681933	1	"+"	1
"chr1"	8045123	8045123	1	"+"	1
"chr1"	9661270	9661270	1	"+"	1
"chr1"	9673273	9673273	1	"+"	1
"chr1"	9673310	9673310	1	"+"	1
"chr1"	9673491	9673491	1	"+"	1
"chr1"	9673955	9673955	1	"+"	1
"chr1"	10364152	10364152	1	"+"	1
"chr1"	10364499	10364499	1	"+"	1
"chr1"	10479848	10479848	1	"+"	1
"chr1"	10480005	10480005	1	"+"	1
"chr1"	11333640	11333640	1	"+"	1
"chr1"	12071860	12071860	1	"+"	1
"chr1"	14108416	14108416	1	"+"	1
"chr1"	15987561	15987561	1	"+"	1
"chr1"	16199391	16199391	1	"+"	1
"chr1"	16199690	16199690	1	"+"	1
"chr1"	16202898	16202898	1	"+"	1
"chr1"	16255068	16255068	1	"+"	1
"chr1"	16255106	16255106	1	"+"	1
"chr1"	16255354	16255354	1	"+"	1
"chr1"	16255929	16255929	1	"+"	1
"chr1"	16256743	16256743	1	"+"	1
"chr1"	16257063	16257063	1	"+"	1
"chr1"	16257625	16257625	1	"+"	1
"chr1"	16259263	16259263	1	"+"	1
"chr1"	16259996	16259996	1	"+"	1
"chr1"	16261769	16261769	1	"+"	1
"chr1"	16262037	16262037	1	"+"	1
"chr1"	16266020	16266020	1	"+"	1
"chr1"	16266139	16266139	1	"+"	1
"chr1"	16266381	16266381	1	"+"	1
"chr1"	16721747	16721747	1	"+"	1
"chr1"	16786504	16786504	1	"+"	1
"chr1"	18360485	18360485	1	"+"	1
"chr1"	19585469	19585469	1	"+"	1
"chr1"	19655205	19655205	1	"+"	1
"chr1"	19934926	19934926	1	"+"	1
"chr1"	24078400	24078400	1	"+"	1
"chr1"	24795772	24795772	1	"+"	1
"chr1"	25785218	25785218	1	"+"	1
"chr1"	26497246	26497246	1	"+"	1
"chr1"	26901048	26901048	1	"+"	1
"chr1"	27023496	27023496	1	"+"	1
"chr1"	27106541	27106541	1	"+"	1
"chr1"	27106604	27106604	1	"+"	1
"chr1"	27106787	27106787	1	"+"	1
